dimCustomerMasterId,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,source_tenure,tenure,distToVenue,recency,missed_games_1,missed_games_2,missed_games_over_2,isNextYear_Buyer,Label,Score_0,Score_1
46,2022,Flex Plan,312.0,2022-07-13,0.88,10,730,150,38.2,0,0,0,0,0,0,0.9919,0.0081
107,2022,Full Season,12257.0,2022-07-16,0.61,162,730,949,48.37,0,0,0,1,0,0,0.5664,0.4336
121,2022,Full Season,875.5,2022-07-16,0.55,159,730,950,57.52,0,1,2,0,0,0,0.8641,0.1359
157,2022,Full Season,850.0,2022-07-13,0.73,33,1095,1095,17.84,1,3,0,0,0,0,0.5968,0.4032
172,2022,Full Season,595.0,2022-07-16,0.91,101,730,1073,52.21,0,1,0,0,0,0,0.8573,0.1427
246,2022,Full Season,2276.3,2022-07-16,0.68,101,1095,1094,12.75,0,0,0,1,0,0,0.8335,0.1665
267,2022,Half Season,466.0,2022-07-13,0.8,6,365,217,14.62,0,1,0,0,0,0,0.9517,0.0483
282,2022,Full Season,1575.9,2022-07-16,0.68,100,1095,1094,2.83,0,3,0,0,0,0,0.7941,0.2059
286,2022,Full Season,437.75,2022-07-13,0.45,159,730,988,58.46,1,3,0,1,0,0,0.6846,0.3154
308,2022,Full Season,1575.9,2022-07-16,0.91,110,1095,1109,38.2,0,1,0,0,0,0,0.9214,0.0786
345,2022,Full Season,1267.5,2022-03-12,1.0,103,365,103,3764.39,0,0,0,0,0,0,0.6649,0.3351
354,2022,Full Season,875.5,2022-07-16,0.68,159,1095,1054,29.38,0,1,1,0,0,0,0.9296,0.0704
420,2022,Full Season,1575.9,2022-07-16,0.5,103,730,1000,26.75,0,3,1,0,0,0,0.8636,0.1364
441,2022,Full Season,787.95,2022-07-16,0.55,162,1095,1056,52.45,0,0,1,1,0,0,0.8466,0.1534
503,2022,Full Season,1870.0,2022-07-16,0.82,162,1095,1091,39.09,0,0,1,0,0,0,0.8918,0.1082
507,2022,Full Season,700.4,2022-07-13,0.36,162,1095,1087,23.14,1,1,0,1,0,0,0.8311,0.1689
522,2022,Full Season,10506.0,2022-07-16,0.59,159,1095,1111,17.84,0,1,1,0,0,0,0.7451,0.2549
549,2022,Full Season,1575.9,2022-05-28,0.32,100,1095,1060,56.49,3,1,0,2,0,0,0.6386,0.3614
552,2022,Full Season,437.75,2022-05-22,0.18,159,730,988,30.3,4,1,0,2,0,0,0.9426,0.0574
560,2022,Full Season,1575.9,2022-07-13,0.36,100,730,972,17.84,1,2,0,1,0,0,0.5356,0.4644
594,2022,Full Season,3452.92,2022-07-13,0.8,5,1095,1087,50.46,1,1,0,0,0,0,0.5607,0.4393
621,2022,Full Season,3066.64,2022-04-09,0.44,32,730,963,82.18,1,1,1,0,0,0,0.5724,0.4276
632,2022,Full Season,1800.9,2022-07-13,0.6,162,1095,1094,52.45,1,2,1,0,0,0,0.5541,0.4459
725,2022,Full Season,875.5,2022-05-22,0.18,159,1095,1005,9.54,4,1,0,2,0,0,0.8671,0.1329
780,2022,Full Season,5253.0,2022-07-16,0.82,159,1095,964,26.75,0,2,0,0,0,0,0.8937,0.1063
798,2022,Full Season,2801.6,2022-07-13,0.73,100,1095,1054,49.08,1,2,0,0,0,1,0.368,0.632
809,2022,Full Season,886.4,2022-07-16,1.0,22,1095,1054,13.28,0,0,0,0,0,0,0.9574,0.0426
839,2022,Full Season,963.05,1970-01-01,0.0,162,1095,999,26.22,0,0,0,1,0,0,0.9361,0.0639
841,2022,Full Season,1138.15,2022-04-09,0.09,47,365,754,56.49,7,0,0,2,0,0,0.609,0.391
861,2022,Full Season,2276.3,2022-07-16,0.68,99,1095,1006,26.75,0,1,1,0,0,0,0.8655,0.1345
862,2022,Full Season,2346.0,2022-07-16,0.73,1,365,226,33.3,0,3,0,0,0,0,0.7964,0.2036
885,2022,Full Season,2276.3,2022-07-13,0.64,99,730,963,12.75,1,2,1,0,0,1,0.4394,0.5606
928,2022,Full Season,1138.15,2022-07-16,0.91,162,1095,1094,12.29,0,1,0,0,0,0,0.9355,0.0645
995,2022,Full Season,3570.0,2022-07-16,0.9,161,1095,1060,48.37,0,1,0,0,0,0,0.7742,0.2258
1009,2022,Full Season,1525.48,2022-07-16,0.73,16,730,747,52.21,0,2,0,0,0,0,0.639,0.361
1018,2022,Full Season,2363.85,2022-07-16,0.55,162,730,738,50.46,0,1,0,1,0,0,0.6627,0.3373
1039,2022,Full Season,1225.7,2022-07-16,0.82,106,1095,962,52.45,0,0,1,0,0,0,0.8856,0.1144
1088,2022,Full Season,37859.0,2022-07-13,0.53,159,365,452,1902.64,1,2,1,0,0,1,0.4002,0.5998
1096,2022,Full Season,842.11,2022-06-25,0.82,38,0,263,0.0,2,0,1,0,0,0,0.6302,0.3698
1148,2022,Full Season,4552.6,2022-07-13,0.34,162,1095,1053,82.18,1,2,1,1,0,1,0.4786,0.5214
1156,2022,Full Season,1156.0,2022-07-16,0.41,32,365,257,12.29,0,1,1,1,0,0,0.9593,0.0407
1186,2022,Full Season,2295.0,2022-07-13,0.45,162,1095,958,20.13,1,1,0,1,0,0,0.8359,0.1641
1201,2022,Full Season,1050.6,2022-07-13,0.73,161,1095,1091,81.02,1,3,0,0,0,0,0.7899,0.2101
1223,2022,Full Season,952.0,2022-07-16,0.86,86,365,311,0.0,0,1,0,0,0,0,0.7872,0.2128
1244,2022,Full Season,2276.3,2022-07-16,0.82,101,1095,1091,17.51,0,2,0,0,0,0,0.8192,0.1808
1248,2022,Full Season,4377.5,2022-07-16,0.18,159,730,1004,50.46,0,0,0,2,0,0,0.7651,0.2349
1267,2022,Flex Plan,564.0,2022-07-13,0.5,13,1095,113,17.0,1,1,0,0,0,0,0.9264,0.0736
1352,2022,Full Season,1864.32,2022-05-14,0.15,162,1095,954,8.11,3,1,0,2,0,0,0.7984,0.2016
1387,2022,Full Season,2714.05,2022-07-13,0.24,162,730,978,59.73,1,2,0,1,0,0,0.5777,0.4223
1408,2022,Full Season,476.0,2022-04-24,0.36,9,1095,828,38.2,6,1,0,1,0,0,0.9111,0.0889
1442,2022,Full Season,477.98,2022-05-28,0.44,159,730,610,8.0,1,3,1,0,0,1,0.4592,0.5408
1498,2022,Full Season,875.5,2022-06-25,0.45,159,1095,1038,35.95,2,0,1,1,0,0,0.9185,0.0815
1529,2022,Full Season,787.95,2022-07-13,0.64,162,1095,1087,14.62,1,2,1,0,0,0,0.6876,0.3124
1534,2022,Full Season,510.0,2022-04-09,0.27,161,365,446,65.22,7,1,0,1,0,0,0.6679,0.3321
1667,2022,Full Season,664.02,1970-01-01,0.0,5,1095,1074,56.08,0,0,0,1,0,0,0.967,0.033
1698,2022,Full Season,425.0,2022-07-16,0.64,88,365,313,0.0,0,1,0,1,0,0,0.759,0.241
1700,2022,Full Season,437.75,2022-07-16,0.82,159,730,744,29.7,0,0,1,0,0,0,0.9102,0.0898
1705,2022,Full Season,2801.6,2022-07-16,0.55,162,1095,1070,17.91,0,0,0,1,0,0,0.7764,0.2236
1712,2022,Full Season,7004.0,2022-07-16,0.64,109,1095,1096,26.22,0,0,2,0,0,0,0.862,0.138
