dimCustomerMasterId,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,source_tenure,tenure,distToVenue,recency,missed_games_1,missed_games_2,missed_games_over_2,isNextYear_Buyer,Label,Score_0,Score_1
42,2022,Flex Plan,312.0,2022-06-25,0.38,10,730,150,38.2,1,1,0,0,0,0,0.9737,0.0263
238,2022,Half Season,466.0,2022-05-14,0.6,6,365,217,14.62,2,0,1,0,0,0,0.9303,0.0697
313,2022,Full Season,1267.5,2022-03-12,1.0,103,365,103,3764.39,0,0,0,0,0,0,0.9555,0.0445
322,2022,Full Season,875.5,2022-06-25,0.6,159,1095,1054,29.38,1,2,1,0,0,0,0.933,0.067
454,2022,Full Season,700.4,2022-06-25,0.3,162,1095,1087,23.14,1,1,0,1,0,0,0.9254,0.0746
493,2022,Full Season,437.75,2022-05-22,0.2,159,730,988,30.3,3,1,0,2,0,0,0.9309,0.0691
501,2022,Full Season,1575.9,2022-05-28,0.3,100,730,972,17.84,2,0,1,1,0,1,0.4431,0.5569
552,2022,Full Season,3237.36,2022-04-09,0.4,32,730,963,82.18,1,1,1,0,0,0,0.8742,0.1258
649,2022,Full Season,875.5,2022-05-22,0.2,159,1095,1005,9.54,3,1,0,2,0,0,0.9323,0.0677
693,2022,Full Season,5253.0,2022-05-28,0.7,159,1095,964,26.75,2,1,1,0,0,1,0.2136,0.7864
745,2022,Full Season,963.05,1970-01-01,0.0,162,1095,999,26.22,0,0,0,1,0,0,0.9505,0.0495
788,2022,Full Season,2276.3,2022-06-25,0.6,99,730,963,12.75,1,2,1,0,0,0,0.6046,0.3954
933,2022,Full Season,1225.7,2022-06-25,0.7,106,1095,962,52.45,1,1,1,0,0,0,0.5287,0.4713
1042,2022,Full Season,1156.0,2022-05-22,0.35,32,365,257,12.29,3,1,1,1,0,0,0.7083,0.2917
1082,2022,Full Season,1050.6,2022-05-28,0.7,161,1095,1091,81.02,2,1,1,0,0,1,0.4666,0.5334
1120,2022,Full Season,2276.3,2022-06-25,0.7,101,1095,1091,17.51,1,3,0,0,0,0,0.5857,0.4143
1267,2022,Full Season,476.0,2022-04-24,0.4,9,1095,828,38.2,5,1,0,1,0,0,0.9432,0.0568
1348,2022,Full Season,875.5,2022-06-25,0.5,159,1095,1038,35.95,1,1,0,1,0,0,0.916,0.084
1383,2022,Full Season,510.0,2022-04-09,0.3,161,365,446,65.22,6,1,0,1,0,0,0.9764,0.0236
1505,2022,Full Season,664.02,1970-01-01,0.0,5,1095,1074,56.08,0,0,0,1,0,0,0.9659,0.0341
1781,2022,Full Season,2188.75,2022-06-25,0.68,159,1095,1054,10.46,1,2,0,0,0,0,0.6059,0.3941
1869,2022,Half Season,1440.0,2022-05-22,0.75,19,730,508,62.69,1,1,0,0,0,1,0.453,0.547
2004,2022,Full Season,2276.3,2022-04-24,0.25,162,730,980,17.84,5,0,1,1,0,0,0.858,0.142
2097,2022,Half Season,986.0,2022-05-22,0.25,28,365,491,21.65,1,1,1,0,0,0,0.5123,0.4877
2271,2022,Flex Plan,200.0,2022-06-25,0.5,15,730,81,12.75,1,1,0,0,0,0,0.9881,0.0119
2362,2022,Full Season,3414.45,2022-06-25,0.63,162,1095,991,59.73,1,1,1,0,0,0,0.8133,0.1867
2611,2022,Full Season,22100.0,2022-06-25,0.72,157,730,1101,48.37,1,2,0,0,0,1,0.1991,0.8009
2614,2022,Full Season,4028.38,2022-05-28,0.25,2,365,142,0.0,2,1,1,0,0,0,0.8837,0.1163
2669,2022,Full Season,397.22,1970-01-01,0.0,162,1095,918,9.54,0,0,0,1,0,0,0.9364,0.0636
2788,2022,Full Season,1530.0,2022-04-24,0.1,162,730,963,0.0,5,0,0,2,0,0,0.9442,0.0558
2832,2022,Full Season,5304.0,2022-05-22,0.4,88,365,354,11.08,3,1,1,1,0,0,0.5445,0.4555
2866,2022,Full Season,952.0,2022-06-25,0.6,73,730,453,38.79,1,3,0,0,0,0,0.922,0.078
2883,2022,Full Season,425.0,2022-06-25,0.4,159,730,745,56.49,1,1,0,1,0,0,0.9272,0.0728
2911,2022,Full Season,1138.15,2022-06-25,0.7,162,1095,1034,281.21,1,3,0,0,0,0,0.8527,0.1473
2920,2022,Full Season,437.75,1970-01-01,0.0,159,730,961,47.79,0,0,0,1,0,0,0.9085,0.0915
2962,2022,Full Season,5253.0,2022-06-25,0.75,159,1095,1083,27.58,1,2,0,0,0,1,0.4359,0.5641
3047,2022,Half Season,1138.0,2022-05-22,0.6,12,365,462,66.1,1,2,0,0,0,0,0.5264,0.4736
3064,2022,Full Season,1033.78,1970-01-01,0.0,162,1095,1000,60.17,0,0,0,1,0,0,0.9052,0.0948
3228,2022,Full Season,425.0,2022-06-25,0.6,159,730,990,11.45,1,1,0,1,0,0,0.6626,0.3374
3271,2022,Full Season,525.3,2022-05-28,0.7,161,1095,1051,23.35,2,1,1,0,0,0,0.8295,0.1705
3359,2022,Full Season,787.95,1970-01-01,0.0,162,1095,1067,24.84,0,0,0,1,0,0,0.977,0.023
3443,2022,Full Season,7004.0,2022-05-28,0.3,79,730,962,21.65,2,2,1,1,0,1,0.0659,0.9341
3606,2022,Full Season,875.5,2022-05-28,0.5,159,1095,1054,41.7,2,3,1,0,0,0,0.8379,0.1621
3617,2022,Full Season,1050.6,2022-06-25,0.5,161,1095,1055,0.0,1,3,0,0,0,0,0.8431,0.1569
3620,2022,Full Season,452.0,2022-06-25,0.7,25,365,508,26.75,1,3,0,0,0,0,0.9305,0.0695
3641,2022,Full Season,221.85,1970-01-01,0.0,114,365,157,27.58,0,0,0,1,0,0,0.83,0.17
3747,2022,Full Season,437.75,2022-06-25,0.7,101,1095,1095,39.09,1,3,0,0,0,0,0.6635,0.3365
3825,2022,Full Season,578.62,2022-05-28,1.0,53,1095,941,42.31,0,0,0,0,0,0,0.88,0.12
3876,2022,Full Season,453.49,2022-05-28,0.7,0,0,225,0.0,2,1,1,0,0,0,0.8716,0.1284
3960,2022,Full Season,7956.0,2022-05-28,0.63,87,365,312,2.83,2,1,1,0,0,1,0.4267,0.5733
3990,2022,Full Season,1575.9,2022-06-25,0.65,99,730,968,29.06,1,3,0,0,0,0,0.786,0.214
3993,2022,Full Season,256.64,2022-03-12,0.5,29,365,71,12.29,2,0,1,0,0,0,0.9909,0.0091
4029,2022,Full Season,2889.15,2022-06-25,0.5,162,730,976,17.84,1,2,1,0,0,1,0.483,0.517
4065,2022,Full Season,1926.1,2022-05-14,0.4,99,1095,978,48.37,4,0,1,1,0,0,0.5163,0.4837
4189,2022,Full Season,1156.0,2022-05-28,0.6,66,365,291,33.23,2,1,1,0,0,0,0.7505,0.2495
4284,2022,Full Season,1156.0,2022-06-25,0.6,78,365,303,82.18,1,3,0,0,0,0,0.8454,0.1546
4296,2022,Full Season,194.34,2022-04-09,0.25,159,1095,815,63.09,0,0,0,1,0,0,0.9059,0.0941
4764,2022,Full Season,3151.8,2022-04-24,0.2,162,1095,1094,37.83,5,0,0,2,0,0,0.881,0.119
4866,2022,Full Season,6128.5,2022-05-14,0.3,162,1095,1108,20.98,4,3,0,1,0,1,0.1336,0.8664
4873,2022,Full Season,7004.0,2022-06-25,0.65,162,1095,1111,9.54,1,3,0,0,0,1,0.138,0.862
4888,2022,Full Season,1926.1,2022-06-25,0.8,101,1095,1073,82.18,1,2,0,0,0,0,0.7465,0.2535
4919,2022,Full Season,15759.0,2022-06-25,0.25,159,1095,1091,47.39,1,2,2,0,0,0,0.6275,0.3725
4941,2022,Full Season,437.75,2022-06-25,0.6,159,1095,1000,273.73,1,1,0,1,0,0,0.9619,0.0381
4954,2022,Full Season,2315.8,2022-06-25,0.5,22,0,128,52.21,1,1,0,0,0,0,0.8666,0.1334
4998,2022,Full Season,119.42,1970-01-01,0.0,162,1095,761,29.59,0,1,0,0,0,0,0.9821,0.0179
4999,2022,Full Season,437.75,2022-06-25,0.5,159,1095,1054,26.22,1,3,1,0,0,0,0.6826,0.3174
5048,2022,Full Season,437.75,2022-06-25,0.7,159,730,963,53.53,1,1,1,0,0,0,0.8389,0.1611
5051,2022,Full Season,5304.0,2022-06-25,0.8,85,365,430,27.17,1,2,0,0,0,0,0.6234,0.3766
5084,2022,Full Season,437.75,2022-05-14,0.4,159,1095,1054,58.29,4,2,0,1,0,0,0.5078,0.4922
5200,2022,Full Season,118.04,2022-02-26,1.0,9,365,248,17.84,0,0,0,0,0,0,0.9911,0.0089
5359,2022,Full Season,3064.25,2022-05-28,0.5,162,730,808,300.61,2,3,1,0,0,0,0.9223,0.0777
5410,2022,Full Season,596.48,1970-01-01,0.0,22,365,390,19.18,0,0,1,0,0,0,0.9612,0.0388
5501,2022,Full Season,2626.5,2022-05-22,0.4,159,1095,1103,1852.66,3,1,1,1,0,0,0.9383,0.0617
5506,2022,Full Season,2626.5,1970-01-01,0.0,159,1095,979,47.79,0,0,0,1,0,0,0.7212,0.2788
5530,2022,Full Season,437.75,2022-05-22,0.4,159,730,600,0.0,3,0,0,2,0,0,0.9626,0.0374
5557,2022,Full Season,2363.85,2022-05-28,0.27,162,1095,1090,26.81,2,2,1,1,0,0,0.7279,0.2721
5572,2022,Full Season,476.0,2022-03-12,0.2,81,730,306,33.23,8,0,0,1,0,0,0.8814,0.1186
5580,2022,Full Season,1575.9,2022-06-25,0.35,2,1095,1095,58.29,1,3,0,1,0,0,0.6536,0.3464
5589,2022,Full Season,476.0,2022-06-25,0.5,25,730,393,50.46,1,2,0,1,0,0,0.9405,0.0595
5627,2022,Full Season,5804.34,2022-05-28,0.22,14,1095,1076,62.69,2,0,2,1,0,0,0.655,0.345
5830,2022,Full Season,2363.85,2022-06-25,0.6,162,1095,1049,46.25,1,2,1,0,0,0,0.5021,0.4979
5889,2022,Full Season,1575.9,2022-06-25,0.6,162,365,516,70.93,1,2,1,0,0,0,0.935,0.065
6118,2022,Full Season,2276.3,2022-06-25,0.7,162,1095,1095,60.17,1,3,0,0,0,0,0.6,0.4
6230,2022,Full Season,1084.32,2022-05-22,0.11,101,365,505,63.09,3,0,0,2,0,0,0.7969,0.2031
6281,2022,Flex Plan,672.0,1970-01-01,0.0,39,1095,1059,11.04,0,1,0,0,0,0,0.9815,0.0185
6323,2022,Full Season,5690.75,2022-05-28,0.68,162,1095,1070,2.83,2,1,1,0,0,1,0.1086,0.8914
6477,2022,Full Season,1575.9,2022-06-25,0.7,162,1095,1088,56.08,1,3,0,0,0,0,0.5734,0.4266
6529,2022,Full Season,2276.3,2022-05-28,0.5,162,365,517,8.55,2,0,1,1,0,0,0.892,0.108
6669,2022,Full Season,326.65,1970-01-01,0.0,162,1095,948,6.46,0,0,0,1,0,0,0.9173,0.0827
6678,2022,Full Season,1400.8,2022-06-25,0.6,162,365,452,8.55,1,2,1,0,0,0,0.9484,0.0516
6766,2022,Full Season,1926.1,2022-05-28,0.45,162,1095,1054,33.3,2,1,2,0,0,0,0.8718,0.1282
6798,2022,Full Season,2626.5,2022-06-25,0.7,159,1095,1053,5.79,1,3,0,0,0,1,0.4948,0.5052
