,dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
0,7,62.69,2023,1,1,1,1,0,33.0,None,Individual,None,0.9937
1,24,10.7,2023,1,0,1,0,0,80.0,None,Individual,None,0.99
3,28,70.42,2023,1,0,0,0,1,0.0,None,None,None,1.0
5,36,82.62,2023,1,1,0,0,1,0.0,None,None,None,1.0
7,40,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
8,41,1594.09,2023,1,0,1,0,0,83.0,None,Individual,None,1.0
9,42,38.2,2023,2,2,2,2,0,39.0,None,Flex Plan,None,0.95
11,101,38.2,2023,2,0,0,0,1,0.0,None,None,None,0.98
13,102,1722.54,2023,1,0,0,0,1,0.0,None,None,None,1.0
16,109,61.49,2023,13,13,0,0,2,0.0,None,None,None,1.0
18,117,1.84,2023,4,0,3,0,1,31.14,None,None,None,0.7267
20,121,196.93,2023,2,1,0,0,1,0.0,None,None,None,1.0
22,136,49.08,2023,1,1,0,0,1,0.0,None,None,None,0.995
24,163,1457.0,2023,1,0,0,0,1,0.0,None,None,None,1.0
26,165,5.68,2023,1,0,0,0,1,0.0,None,None,None,1.0
29,171,37.83,2023,13,13,0,0,2,0.0,None,None,None,1.0
30,175,196.93,2023,1,0,1,0,0,53.0,None,Individual,None,0.9272
33,178,12.75,2023,31,21,1,0,2,0.0,None,Individual,None,0.5567
34,181,125.91,2023,1,1,1,1,0,53.0,None,Individual,None,0.99
35,192,19.63,2023,1,0,1,0,0,26.0,None,Individual,None,1.0
37,200,1237.55,2023,1,0,0,0,1,0.0,None,None,None,1.0
40,207,69.88,2023,31,28,1,1,2,0.0,None,Individual,None,0.6067
43,218,48.37,2023,16,16,0,0,2,0.0,None,None,None,0.72
45,221,56.49,2023,3,0,1,0,1,37.0,None,Individual,None,0.88
46,231,11.36,2023,2,0,2,0,0,75.0,None,Individual,None,0.8
47,234,2.83,2023,2,0,2,0,0,41.33,None,None,None,0.9067
48,238,14.62,2023,8,5,8,5,0,29.13,None,Half Season,Full Season,0.43
50,254,26.81,2023,1,0,0,0,1,0.0,None,None,None,1.0
53,257,15.07,2023,11,9,1,0,2,37.0,None,None,None,0.73
55,262,13.28,2023,2,0,0,0,1,0.0,None,None,None,0.8683
56,263,49.08,2023,1,0,1,0,0,72.0,None,Individual,None,0.86
59,264,17.91,2023,14,13,1,0,2,60.0,None,Individual,None,0.92
61,279,50.46,2023,1,1,0,0,1,0.0,None,None,None,1.0
63,297,1946.82,2023,1,1,0,0,1,0.0,None,None,None,1.0
64,300,1575.55,2023,1,0,1,0,0,40.0,None,Individual,None,1.0
66,310,26.81,2023,1,0,0,0,1,0.0,None,None,None,1.0
68,312,8.55,2023,1,0,0,0,1,0.0,None,None,None,1.0
69,313,3764.39,2023,1,0,1,0,0,633.75,None,Full Season,None,1.0
70,321,196.93,2023,1,0,1,0,0,80.0,None,Individual,None,1.0
73,322,29.38,2023,48,33,18,12,2,24.32,None,Full Season,Individual,0.785
74,332,196.93,2023,1,1,1,1,0,38.0,None,Individual,None,1.0
76,333,196.93,2023,1,1,0,0,1,0.0,None,None,None,1.0
78,339,13.28,2023,2,1,1,1,1,69.0,None,Individual,None,0.83
80,344,23.26,2023,1,0,0,0,1,0.0,None,None,None,0.98
83,346,56.08,2023,7,7,0,0,2,0.0,None,None,None,1.0
85,357,196.93,2023,3,1,0,0,1,0.0,None,None,None,1.0
88,361,25.94,2023,31,27,1,1,2,0.0,None,Individual,None,0.5167
91,369,61.71,2023,31,24,1,0,2,0.0,None,Individual,None,0.5967
93,371,999.87,2023,1,0,0,0,1,0.0,None,None,None,1.0
95,372,76.98,2023,3,0,2,0,1,57.2,None,Individual,None,0.89
97,373,17.91,2023,1,1,0,0,1,0.0,None,None,None,0.988
99,376,3634.24,2023,3,0,1,0,1,42.0,None,Individual,None,0.78
100,377,69.88,2023,1,0,1,0,0,80.0,None,Individual,None,0.92
102,378,22.58,2023,1,0,0,0,1,0.0,None,None,None,0.98
103,385,196.93,2023,1,0,1,0,0,24.0,None,Individual,None,1.0
105,398,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
106,403,196.93,2023,1,0,1,0,0,172.0,None,Individual,None,1.0
109,410,52.45,2023,31,26,1,1,2,0.0,None,Individual,None,0.5767
111,411,39.09,2023,18,11,1,0,1,0.0,None,Individual,None,0.6767
114,419,48.37,2023,30,30,0,0,2,0.0,None,None,None,0.5842
116,424,42.19,2023,3,1,2,1,1,34.14,None,Individual,None,0.78
118,439,46.25,2023,1,0,0,0,1,0.0,None,None,None,0.9633
121,454,23.14,2023,48,39,18,15,2,39.15,None,Full Season,Full Season,0.53
122,460,33.3,2023,1,0,1,0,0,44.0,None,Individual,None,1.0
125,469,41.92,2023,31,17,1,0,2,0.0,None,Individual,None,0.5567
127,490,26.81,2023,3,1,1,1,1,23.0,None,Individual,None,0.85
130,493,30.3,2023,48,39,18,15,2,24.32,None,Full Season,Individual,0.715
132,505,26.22,2023,1,0,0,0,1,0.0,None,None,None,0.9967
133,514,45.06,2023,1,1,1,1,0,89.0,None,Individual,None,0.97
135,539,56.08,2023,1,0,0,0,1,0.0,None,None,None,1.0
138,548,196.93,2023,13,13,0,0,2,0.0,None,None,None,0.989
141,552,82.18,2023,41,25,11,8,2,147.15,None,Full Season,Full Season,0.53
143,558,196.93,2023,1,1,0,0,1,0.0,None,None,None,1.0
144,573,196.93,2023,1,0,1,0,0,53.0,None,Individual,None,0.9272
147,576,59.73,2023,31,29,1,1,2,0.0,None,Individual,None,0.5967
150,577,53.83,2023,7,7,0,0,2,0.0,None,None,None,1.0
152,581,1.84,2023,1,0,0,0,1,0.0,None,None,None,0.9428
153,582,1836.6,2023,1,0,1,0,0,44.0,None,Individual,None,0.98
154,594,33.23,2023,2,1,2,1,0,32.0,None,Individual,None,0.98
157,597,29.38,2023,15,13,0,0,2,0.0,None,None,None,0.59
159,602,21.19,2023,1,0,0,0,1,0.0,None,None,None,0.94
160,615,47.39,2023,1,0,1,0,0,37.0,None,Individual,None,1.0
161,630,61.71,2023,1,0,1,0,0,37.0,None,Individual,None,1.0
163,631,38.67,2023,1,0,0,0,1,0.0,None,None,None,0.9517
166,632,42.31,2023,31,28,1,1,2,0.0,None,Individual,None,0.5767
168,636,56.08,2023,1,0,0,0,1,0.0,None,None,None,1.0
171,649,9.54,2023,48,36,18,16,2,24.32,None,Full Season,Full Season,0.71
172,655,47.74,2023,1,0,1,0,0,172.0,None,Individual,None,0.93
175,663,29.35,2023,7,7,0,0,2,0.0,None,None,None,0.8608
176,676,3443.99,2023,1,0,1,0,0,33.0,None,Individual,None,0.98
179,679,27.58,2023,13,13,0,0,2,0.0,None,None,None,1.0
182,713,46.25,2023,31,31,1,1,2,0.0,None,Individual,None,0.6267
185,745,26.22,2023,48,41,18,18,2,53.5,None,Full Season,None,0.6
187,772,20.98,2023,18,6,1,0,1,0.0,None,Individual,None,0.6067
189,774,56.49,2023,1,0,0,0,1,0.0,None,None,None,1.0
191,782,1286.65,2023,1,0,0,0,1,0.0,None,None,None,1.0
194,787,13.37,2023,31,23,1,0,2,0.0,None,Individual,None,0.5567
196,792,17.91,2023,2,0,1,0,1,33.0,None,Individual,None,0.6855
198,795,1719.76,2023,1,0,0,0,1,0.0,None,None,None,0.99
200,797,23.14,2023,5,1,1,1,1,23.0,None,None,None,0.7677
201,808,3.97,2023,1,0,1,0,0,42.0,None,Individual,None,0.9482
202,809,63.09,2023,1,0,1,0,0,33.0,None,Individual,None,0.9998
205,815,11.36,2023,13,13,0,0,2,0.0,None,None,None,1.0
208,821,72.67,2023,13,13,0,0,2,0.0,None,None,None,1.0
211,823,27.17,2023,33,17,3,0,2,14.0,None,Individual,None,0.5467
213,824,59.73,2023,1,0,0,0,1,0.0,None,None,None,1.0
216,825,160.35,2023,31,17,1,0,2,0.0,None,Individual,None,0.6267
219,837,32.18,2023,31,28,1,1,2,0.0,None,Individual,None,0.6067
220,845,1778.58,2023,1,0,1,0,0,33.0,None,Individual,None,1.0
222,855,58.29,2023,1,0,0,0,1,0.0,None,None,None,1.0
223,873,196.93,2023,1,0,1,0,0,37.0,None,Individual,None,1.0
225,879,955.25,2023,2,0,1,0,1,80.0,None,Individual,None,0.97
228,881,5.68,2023,31,19,1,0,2,0.0,None,Individual,None,0.4467
230,888,1698.07,2023,1,0,0,0,1,0.0,None,None,None,1.0
232,896,29.59,2023,1,0,0,0,1,0.0,None,None,None,1.0
234,906,11.45,2023,1,1,0,0,1,0.0,None,None,None,0.5047
237,946,26.22,2023,13,13,0,0,2,0.0,None,None,None,1.0
239,1008,46.25,2023,1,0,0,0,1,0.0,None,None,None,0.9633
240,1016,196.93,2023,1,1,1,1,0,60.0,None,Individual,None,1.0
243,1024,23.14,2023,31,19,1,0,2,0.0,None,None,Individual,0.6033
246,1033,29.38,2023,31,20,1,0,2,0.0,None,Individual,None,0.5867
247,1042,12.29,2023,17,14,17,14,0,34.0,None,Full Season,Individual,0.72
248,1044,41.44,2023,1,1,1,1,0,714.29,None,None,None,0.75
250,1051,205.63,2023,1,0,0,0,1,0.0,None,None,None,0.9974
251,1061,30.3,2023,1,0,1,0,0,23.0,None,Individual,None,0.96
253,1063,1567.57,2023,1,0,0,0,1,0.0,None,None,None,1.0
256,1082,81.02,2023,48,28,18,10,2,29.18,None,Full Season,Individual,0.55
258,1085,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
260,1092,13.37,2023,1,0,0,0,1,0.0,None,None,None,0.6983
262,1100,25.94,2023,1,0,0,0,1,0.0,None,None,None,0.9967
264,1105,52.24,2023,1,1,0,0,1,0.0,None,None,None,1.0
265,1112,11.36,2023,1,0,1,0,0,23.0,None,Individual,None,0.8182
268,1120,17.51,2023,48,28,18,10,2,63.23,None,Full Season,Individual,0.69
270,1128,1564.97,2023,1,0,0,0,1,0.0,None,None,None,1.0
273,1164,17.0,2023,31,18,1,0,2,0.0,None,Individual,None,0.4867
276,1181,76.36,2023,13,13,0,0,2,0.0,None,None,None,1.0
278,1182,1.84,2023,1,0,0,0,1,0.0,None,None,None,0.9428
280,1185,17.84,2023,1,0,0,0,1,0.0,None,None,None,1.0
282,1190,17.51,2023,18,14,1,1,1,0.0,None,Individual,None,0.5067
283,1193,46.25,2023,1,0,1,0,0,60.0,None,Individual,None,1.0
285,1215,48.37,2023,1,0,0,0,1,0.0,None,None,None,1.0
288,1220,10.46,2023,13,13,0,0,2,0.0,None,None,None,1.0
290,1230,196.93,2023,1,0,0,0,1,0.0,None,None,None,0.9972
291,1257,16.19,2023,1,0,1,0,0,58.0,None,Individual,None,1.0
294,1267,38.2,2023,48,36,18,14,2,26.44,None,Full Season,Individual,0.64
297,1288,74.68,2023,31,29,1,0,2,0.0,None,Individual,None,0.6067
299,1290,4152.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
301,1292,3.97,2023,2,0,0,0,1,0.0,None,None,None,0.9517
303,1293,50.84,2023,18,14,1,1,1,0.0,None,Individual,None,0.6517
305,1302,44.96,2023,1,0,0,0,1,0.0,None,None,None,0.9883
307,1304,42.31,2023,1,0,0,0,1,0.0,None,None,None,1.0
308,1311,23.26,2023,1,0,1,0,0,72.0,None,Individual,None,1.0
311,1313,33.3,2023,25,14,1,0,2,0.0,None,Individual,None,0.6367
314,1324,196.93,2023,13,13,0,0,2,0.0,None,None,None,0.989
315,1327,29.35,2023,1,1,1,1,0,38.0,None,Individual,None,0.99
318,1334,19.18,2023,31,25,1,1,2,0.0,None,Individual,None,0.4667
320,1347,25.94,2023,1,0,0,0,1,0.0,None,None,None,0.9967
323,1348,35.95,2023,48,35,18,13,2,24.38,None,Full Season,Individual,0.61
325,1383,65.22,2023,18,14,17,14,1,30.0,None,Full Season,Individual,0.5
327,1384,45.26,2023,3,3,0,0,1,0.0,None,None,None,1.0
329,1392,10.5,2023,18,11,1,1,1,0.0,None,Individual,None,0.6067
331,1394,23.14,2023,1,0,0,0,1,0.0,None,None,None,0.98
333,1407,47.74,2023,1,0,0,0,1,0.0,None,None,None,0.9975
335,1415,12.75,2023,1,0,0,0,1,0.0,None,None,None,0.8183
338,1416,38.86,2023,24,15,1,1,2,0.0,None,Individual,None,0.6567
340,1445,1727.55,2023,1,0,0,0,1,0.0,None,None,None,1.0
341,1454,67.51,2023,1,0,1,0,0,69.0,None,Individual,None,0.98
342,1466,2.83,2023,2,1,2,1,0,45.0,None,Individual,None,0.98
345,1467,25.94,2023,31,24,1,0,2,0.0,None,Individual,None,0.5367
348,1476,20.13,2023,13,13,0,0,2,0.0,None,None,None,1.0
351,1477,13.37,2023,31,18,1,0,2,0.0,None,Individual,None,0.5467
