dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
7,62.69,2023,1,1,1,1,0,33.0,None,Individual,None,1.0
24,10.7,2023,1,0,1,0,0,80.0,None,Individual,None,1.0
28,70.42,2022,1,0,1,0,0,32.0,None,Individual,None,1.0
28,70.42,2023,1,0,0,0,1,0.0,None,None,None,1.0
36,82.62,2022,1,1,1,1,0,85.0,None,Individual,None,1.0
36,82.62,2023,1,1,0,0,1,0.0,None,None,None,1.0
40,196.93,2022,1,0,1,0,0,60.0,None,Individual,None,0.9566
40,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
41,1594.09,2023,1,0,1,0,0,83.0,None,Individual,None,1.0
42,38.2,2023,2,2,2,2,0,39.0,None,Flex Plan,None,1.0
101,38.2,2022,2,0,2,0,0,46.67,None,Half Season,None,0.94
101,38.2,2023,2,0,0,0,1,0.0,None,None,None,1.0
102,1722.54,2022,1,0,1,0,0,80.0,None,Individual,None,1.0
102,1722.54,2023,1,0,0,0,1,0.0,None,None,None,1.0
109,61.49,2022,13,13,0,0,1,0.0,None,None,None,1.0
109,61.49,2023,13,13,0,0,2,0.0,None,None,None,1.0
117,1.84,2022,1,0,1,0,0,30.0,None,Individual,None,0.7681
117,1.84,2023,4,0,3,0,1,31.14,None,None,None,0.99
121,196.93,2022,2,1,2,1,0,29.67,None,Individual,None,0.99
121,196.93,2023,2,1,0,0,1,0.0,None,None,None,1.0
136,49.08,2022,1,1,1,1,0,75.0,None,Individual,None,1.0
136,49.08,2023,1,1,0,0,1,0.0,None,None,None,1.0
163,1457.0,2022,1,0,1,0,0,55.0,None,Individual,None,0.99
163,1457.0,2023,1,0,0,0,1,0.0,None,None,None,1.0
165,5.68,2022,1,0,1,0,0,32.0,None,Individual,None,1.0
165,5.68,2023,1,0,0,0,1,0.0,None,None,None,1.0
171,37.83,2022,13,13,0,0,1,0.0,None,None,None,1.0
171,37.83,2023,13,13,0,0,2,0.0,None,None,None,1.0
175,196.93,2023,1,0,1,0,0,53.0,None,Individual,None,0.9669
178,12.75,2022,30,21,17,8,1,27.16,Individual,Full Season,Individual,0.66
178,12.75,2023,31,21,1,0,2,0.0,None,Individual,None,1.0
