dimCustomerMasterId,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,source_tenure,tenure,distToVenue,recency,missed_games_1,missed_games_2,missed_games_over_2,isNextYear_Buyer,Label,Score_0,Score_1
42,2022,Flex Plan,312.0,2022-06-25,0.0,10,730,150,38.2,0,0,0,0,0,0,0.834,0.166
238,2022,Half Season,466.0,2022-05-14,0.75,6,365,217,14.62,1,1,0,0,0,0,0.9544,0.0456
313,2022,Full Season,1267.5,2022-03-12,1.0,103,365,103,3764.39,0,0,0,0,0,0,0.6918,0.3082
322,2022,Full Season,875.5,2022-06-25,0.75,159,1095,1054,29.38,0,1,1,0,0,1,0.4024,0.5976
454,2022,Full Season,700.4,2022-06-25,0.38,162,1095,1087,23.14,0,0,0,1,0,0,0.5717,0.4283
493,2022,Full Season,437.75,2022-05-22,0.25,159,730,988,30.3,1,2,0,1,0,0,0.827,0.173
501,2022,Full Season,1575.9,2022-05-28,0.38,100,730,972,17.84,0,0,0,1,0,0,0.8426,0.1574
552,2022,Full Season,3237.36,2022-04-09,0.5,32,730,963,82.18,0,0,1,0,0,0,0.7598,0.2402
649,2022,Full Season,875.5,2022-05-22,0.25,159,1095,1005,9.54,1,2,0,1,0,0,0.7749,0.2251
693,2022,Full Season,5253.0,2022-05-28,0.88,159,1095,964,26.75,0,1,0,0,0,0,0.7379,0.2621
745,2022,Full Season,963.05,1970-01-01,0.0,162,1095,999,26.22,0,0,0,1,0,0,0.5092,0.4908
788,2022,Full Season,2276.3,2022-06-25,0.75,99,730,963,12.75,2,1,1,0,0,0,0.5402,0.4598
933,2022,Full Season,1225.7,2022-06-25,0.88,106,1095,962,52.45,0,0,1,0,0,0,0.5947,0.4053
1042,2022,Full Season,1156.0,2022-05-22,0.44,32,365,257,12.29,1,2,1,0,0,0,0.8775,0.1225
1082,2022,Full Season,1050.6,2022-05-28,0.88,161,1095,1091,81.02,0,1,0,0,0,0,0.8058,0.1942
1120,2022,Full Season,2276.3,2022-06-25,0.88,101,1095,1091,17.51,1,2,0,0,0,1,0.4325,0.5675
1267,2022,Full Season,476.0,2022-04-24,0.5,9,1095,828,38.2,3,1,0,1,0,0,0.7869,0.2131
1348,2022,Full Season,875.5,2022-06-25,0.63,159,1095,1038,35.95,0,0,0,1,0,1,0.4927,0.5073
1383,2022,Full Season,510.0,2022-04-09,0.38,161,365,446,65.22,4,1,0,1,0,0,0.8405,0.1595
1505,2022,Full Season,664.02,1970-01-01,0.0,5,1095,1074,56.08,0,0,1,0,0,0,0.6619,0.3381
1781,2022,Full Season,2188.75,2022-06-25,0.85,159,1095,1054,10.46,0,1,0,0,0,1,0.2778,0.7222
1869,2022,Half Season,1440.0,2022-05-22,0.94,19,730,508,62.69,0,0,0,0,0,0,0.9193,0.0807
2004,2022,Full Season,2276.3,2022-04-24,0.31,162,730,980,17.84,3,0,1,1,0,0,0.5077,0.4923
2097,2022,Half Season,986.0,2022-05-22,0.33,28,365,491,21.65,0,0,1,0,0,0,0.8921,0.1079
2271,2022,Flex Plan,200.0,2022-06-25,0.0,15,730,81,12.75,0,0,0,0,0,0,0.826,0.174
2362,2022,Full Season,3414.45,2022-06-25,0.79,162,1095,991,59.73,0,0,1,0,0,1,0.4415,0.5585
2611,2022,Full Season,22100.0,2022-06-25,0.91,157,730,1101,48.37,0,1,0,0,0,1,0.2855,0.7145
2614,2022,Full Season,4028.38,2022-05-28,0.5,2,365,142,0.0,0,1,0,0,0,0,0.944,0.056
2669,2022,Full Season,397.22,1970-01-01,0.0,162,1095,918,9.54,0,0,0,1,0,0,0.6183,0.3817
2788,2022,Full Season,1530.0,2022-04-24,0.13,162,730,963,0.0,3,0,0,2,0,0,0.6683,0.3317
2832,2022,Full Season,5304.0,2022-05-22,0.5,88,365,354,11.08,1,2,1,0,0,0,0.8308,0.1692
2866,2022,Full Season,952.0,2022-06-25,0.75,73,730,453,38.79,0,2,0,0,0,0,0.7553,0.2447
2883,2022,Full Season,425.0,2022-06-25,0.5,159,730,745,56.49,0,0,0,1,0,0,0.773,0.227
2911,2022,Full Season,1138.15,2022-06-25,0.88,162,1095,1034,281.21,0,2,0,0,0,1,0.4355,0.5645
2920,2022,Full Season,437.75,1970-01-01,0.0,159,730,961,47.79,0,0,0,1,0,0,0.6206,0.3794
2962,2022,Full Season,5253.0,2022-06-25,0.94,159,1095,1083,27.58,0,1,0,0,0,1,0.304,0.696
3047,2022,Half Season,1138.0,2022-05-22,0.75,12,365,462,66.1,0,1,0,0,0,0,0.9438,0.0562
3064,2022,Full Season,1033.78,1970-01-01,0.0,162,1095,1000,60.17,0,0,0,1,0,0,0.5689,0.4311
3228,2022,Full Season,425.0,2022-06-25,0.75,159,730,990,11.45,0,0,0,1,0,0,0.5664,0.4336
3271,2022,Full Season,525.3,2022-05-28,0.88,161,1095,1051,23.35,0,1,0,0,0,0,0.7512,0.2488
3359,2022,Full Season,787.95,1970-01-01,0.0,162,1095,1067,24.84,0,0,0,1,0,1,0.4577,0.5423
