atp_last,attended_last,attended_prior,clientcode,dimcustomermasterid,distance,events_last,events_prior,lkupclientid,product_current,product_last,product,sascore,seasonyear,scoredate,tenure
73.5,1,1,GALAXY,437182025,94.66,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
32.86,11,11,GALAXY,437182052,13.2,15,15,6,None,Full Season,Full Season,62.0,2022,2022-06-23,0
37.5,1,1,GALAXY,437182064,4104.42,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
25.41,1,1,GALAXY,437182072,147.22,1,1,6,None,Individual,None,97.0,2022,2022-06-23,0
42.25,4,4,GALAXY,437182090,385.31,4,4,6,None,Mini Plan,None,49.0,2022,2022-06-23,0
25.89,14,14,GALAXY,437182092,35.0,17,17,6,None,Full Season,Full Season,77.0,2022,2022-06-23,0
50.0,0,0,GALAXY,437182110,12.16,1,1,6,None,None,None,86.0,2022,2022-06-23,0
43.12,17,17,GALAXY,437182125,62.19,17,17,6,None,Full Season,Full Season,95.0,2022,2022-06-23,0
168.0,1,1,GALAXY,437182127,147.22,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
19.0,9,9,GALAXY,437182137,9.61,13,13,6,None,Full Season,Full Season,68.0,2022,2022-06-23,0
26.81,8,8,GALAXY,437182232,4.59,8,8,6,None,Group,Full Season,54.0,2022,2022-06-23,0
46.0,1,1,GALAXY,437182270,17.26,1,1,6,None,Individual,None,45.35,2022,2022-06-23,0
0.0,1,1,GALAXY,437182279,14.79,1,1,6,None,None,None,75.19,2022,2022-06-23,0
0.0,4,4,GALAXY,437182294,10.96,16,16,6,None,None,None,56.99999999999999,2022,2022-06-23,0
25.0,1,1,GALAXY,437182313,8.74,1,1,6,None,Group,None,100.0,2022,2022-06-23,0
26.0,1,1,GALAXY,437182319,55.83,1,1,6,None,Group,None,99.0,2022,2022-06-23,0
34.15,3,3,GALAXY,437182512,0.83,4,4,6,None,Group,None,30.0,2022,2022-06-23,0
0.0,15,15,GALAXY,437182527,48.33,16,16,6,None,Mini Plan,None,88.0,2022,2022-06-23,0
21.07,5,5,GALAXY,437182530,49.65,7,7,6,None,Partial Plan,None,61.0,2022,2022-06-23,0
24.33,5,5,GALAXY,437182699,166.25,6,6,6,None,Partial Plan,None,39.0,2022,2022-06-23,0
34.92,3,3,GALAXY,437182716,230.0,8,8,6,None,Individual,None,85.0,2022,2022-06-23,0
60.0,2,2,GALAXY,437182740,11.88,2,2,6,None,Group,None,62.0,2022,2022-06-23,0
23.0,12,12,GALAXY,437182782,20.75,13,13,6,None,Full Season,Full Season,60.0,2022,2022-06-23,0
